name,credit,department,language,charge
Photonische Kommunikationsnetze,6,34332600 FG Photonische Kommunikationssysteme,de,"Petermann, Klaus"
Photonische Kommunikationsnetze,6,34332600 FG Photonische Kommunikationssysteme,de,"Freund, Ronald"
Photonische Kommunikationsnetze und Komponenten,12,34332600 FG Photonische Kommunikationssysteme,de,"Freund, Ronald"
Photonische Komponenten,12,34321100 FG Hochfrequenztechnik/Hochfrequenztechnik-Photonik,"de, en","Petermann, Klaus"
Photonische Komponenten,12,34321100 FG Hochfrequenztechnik/Hochfrequenztechnik-Photonik,de,"Burla, Maurizio"
Photovoltaik,12,34325400 FG S-Professur Photovoltaik,,"Rech, Bernd"
Physics and Technology of Semiconductor Devices,6,34311700 FG Sensorik und Aktuatorik / Messtechnik,en,"Thewes, Roland"
Physics-Informed Machine Learning,3,"34352700 FG S-Professur Unsicherheit, inverse Modellierung und maschinelles Lernen (UNIML)",en,"Haufe, Stefan"
Praktikum: Intelligente Softwaresysteme,6,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),de,"Albayrak, Sahin"
Praktikum Master Medieninformatik I,15,34355300 FG S-Professur Quality and Usability,de,"Möller, Sebastian"
Praktikum Master Medieninformatik II,15,34355300 FG S-Professur Quality and Usability,de,"Möller, Sebastian"
Praktikum Optische Nachrichtentechnik,6,34321100 FG Hochfrequenztechnik/Hochfrequenztechnik-Photonik,de,"Burla, Maurizio"
Praktisches Programmieren und Rechneraufbau,6,34351300 FG Neuronale Informationsverarbeitung,de,"Obermayer, Klaus"
Privacy Prototyping,12,34361400 FG Wirtschaftsinformatik - Information Systems Engineering (ISE),en,"Pallas, Frank"
Produktionsoptimierte elektrische Antriebe,6,34311100 FG Elektrische Antriebstechnik (EA),de,"Schäfer, Uwe"
Programmieren I,6,34361700 FG Scalable Software Systems,de,"Bermbach, David"
Programmieren II,6,34335700 FG S-Professur Service Centric Networking (SNET),de,"Küpper, Axel"
Programmieren II für Wirtschaftsinformatiker,6,34335700 FG S-Professur Service Centric Networking (SNET),de,"Küpper, Axel"
Programmierpraktikum,6,34351800 FG Software and Embedded Systems Engineering (SESE),de,"Glesner, Sabine"
Programmierpraktikum: Algorithm Engineering,6,34331700 FG Intelligent Networks and Management of Distributed Systems (INET),de,"Schmid, Stefan"
Programmierpraktikum: Cyber-Physical Systems,6,34351800 FG Software and Embedded Systems Engineering (SESE),de,"Glesner, Sabine"
Programmierpraktikum: Datensysteme,6,34352900 FG Big Data Engineering,de,"Böhm, Matthias"
Programmierpraktikum: Datensysteme - Datenintegrationinstanz,6,34353400 FG Data Integration and Data Preparation,de,"Abedjan, Ziawasch"
Programmierpraktikum: Datensysteme - Machine Learning Pipelines,6,34353500 FG Management von Data Science-Prozessen,en,"Schelter, Sebastian"
Programmierpraktikum: Entwurf und Implementierung von Programmiersprachen,6,34353200 FG Programmiersprachen,en,"Steuwer, Michel"
Programmierpraktikum: Mensch-Computer-Interaktion,6,34353300 FG Mensch-Computer-Interaktion (HCI),de,"George, Ceenu"
Programmierpraktikum: Modelle Dynamischer Systeme,6,34351900 FG Modelle und Theorie Verteilter Systeme (MTV),de,"Nestmann, Uwe"
Programmierpraktikum: Moderne verteilte Anwendungen,6,34332300 FG Open Distributed Systems (ODS),de,"Hauswirth, Manfred"
Programmierpraktikum: NLP for Social Good,6,34332900 FG Internet und Gesellschaft,de,"Berendt, Bettina"
Programmierpraktikum: Quality Data Science,6,"34352700 FG S-Professur Unsicherheit, inverse Modellierung und maschinelles Lernen (UNIML)",en,"Haufe, Stefan"
Programmierpraktikum: Skalierbare Systeme,6, 34331500 FG Distributed and Operating Systems (DOS),de,"Kao, Odej"
Programmierpraktikum: Verteilte Systeme,9, 34331500 FG Distributed and Operating Systems (DOS),de,"Kao, Odej"
Programmierpraktikum Algorithmen für Spiele und Puzzle,6,34355200 FG S-Professur Neurotechnologie,de,"Blankertz, Benjamin"
Programmierpraktikum Algorithmen und Datenstrukturen,6,34355200 FG S-Professur Neurotechnologie,de,"Blankertz, Benjamin"
Programmierpraktikum Batterien,6,34312100 FG Elektrische Energiespeichertechnik (EET),de,"Kowal, Julia"
Programmierpraktikum FLOSS,6,34355200 FG S-Professur Neurotechnologie,de,"Blankertz, Benjamin"
Programmierpraktikum Kommunikationstechnologien,6,34331200 FG Telekommunikationsnetze,de,"Dressler, Falko"
Programmierpraktikum Leistungselektronik,6,34311200 FG Leistungselektronik,de,"Dieckerhoff, Sibylle"
Programmierpraktikum Microservices,6,34361400 FG Wirtschaftsinformatik - Information Systems Engineering (ISE),de,"Tai, Stefan"
Programmierpraktikum Neue Webtechnologien,6,34335700 FG S-Professur Service Centric Networking (SNET),de,"Küpper, Axel"
Programmierpraktikum Scalable Software Systems,6,34361700 FG Scalable Software Systems,de,"Bermbach, David"
Programmierung einer Umrichtersteuerung,6,34311200 FG Leistungselektronik,de,"Dieckerhoff, Sibylle"
Programming Course and Project,6,34352100 FG Modellierung kognitiver Prozesse,en,"Sprekeler, Henning"
Programming Project: Data Science in Python and R,6,34341900 FG Computational Psychology,en,"Maertens, Marianne"
Programming Project in Python,6,34352100 FG Modellierung kognitiver Prozesse,en,"Sprekeler, Henning"
Project: Brain-Computer Interfacing,9,34355200 FG S-Professur Neurotechnologie,en,"Blankertz, Benjamin"
Project: Smart Sensors and Sensor Interfaces,12,34311700 FG Sensorik und Aktuatorik / Messtechnik,en,"Thewes, Roland"
Project Advanced Network Technologies,6,34331200 FG Telekommunikationsnetze,en,"Dressler, Falko"
Project Advanced Research Data Infrastructures,9,34332310 FG Forschungsdateninfrastruktur,en,"Schimmler, Sonja"
Project Deep Learning for Earth Observation,9,34342200 FG Remote Sensing Image Analysis,en,"Demir, Begüm"
Project Hot Topics in Computer Vision A,9,34341600 FG Computer Vision and Remote Sensing,en,"Hellwich, Olaf"
Project Hot Topics in Computer Vision B,9,34341600 FG Computer Vision and Remote Sensing,en,"Hellwich, Olaf"
Project Lab Automation,6,34311800 FG Regelungssysteme (Control Systems),en,"Schauer, Thomas"
Project Large-scale Data Engineering (benotet),9,34352900 FG Big Data Engineering,en,"Böhm, Matthias"
Project Open Distributed Systems,9,34332300 FG Open Distributed Systems (ODS),en,"Hauswirth, Manfred"
Project Selection of Storage System,3,34312100 FG Elektrische Energiespeichertechnik (EET),en,"Kowal, Julia"
Projekt: Elektromagnetisches CAD,6,34321600 FG Theoretische Elektrotechnik,de,"Schuhmann, Rolf"
Projekt: Optoelektronik auf Silizium,6,34321700 FG Silizium-Photonik,de,"Zimmermann, Lars"
Projekt: Symbolische Künstliche Intelligenz,6,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),de,"Albayrak, Sahin"
Projekt Advanced Media Technologies,9,34332300 FG Open Distributed Systems (ODS),de,"Hauswirth, Manfred"
Projekt Analyse und Synthese von Regelungssystemen,6,34311800 FG Regelungssysteme (Control Systems),de,"Schauer, Thomas"
Projekt Anwendungen der Leistungselektronik,6,34311200 FG Leistungselektronik,de,"Dieckerhoff, Sibylle"
Projekt Batterien,6,34312100 FG Elektrische Energiespeichertechnik (EET),de,"Kowal, Julia"
Projekt Elektrische Antriebe,6,34311100 FG Elektrische Antriebstechnik (EA),de,"Schäfer, Uwe"
Projekt Elektrische Antriebe (Master),6,34311100 FG Elektrische Antriebstechnik (EA),de,"Schäfer, Uwe"
Projekt Elektromagnetische Feldsimulation,6,34321600 FG Theoretische Elektrotechnik,de,"Schuhmann, Rolf"
Projekt Elektronik,6,34311900 FG Elektronische Systeme der Medizintechnik,de,"Kolossa, Dorothea"
Projekt Energieversorgung mit erneuerbaren Energien,6,34312000 FG Energieversorgungsnetze und Integration Erneuerbarer Energien (SENSE),"de, en","Strunz, Kai"
Projekt Funksysteme,6,34321200 FG Hochfrequenzsysteme,de,"Keusgen, Wilhelm"
Projekt Funktechnik,6,34321200 FG Hochfrequenzsysteme,de,"Keusgen, Wilhelm"
Projekt Halbleiter und Schaltungen der Leistungselektronik,6,34311200 FG Leistungselektronik,de,"Dieckerhoff, Sibylle"
Projekt informatiCup,6,34361700 FG Scalable Software Systems,de,"Bermbach, David"
Projekt Mathematische Methoden der Feldsimulation,6,34321600 FG Theoretische Elektrotechnik,de,"Schuhmann, Rolf"
Projekt Medienerstellung (5 LP),5,34355300 FG S-Professur Quality and Usability,de,"Möller, Sebastian"
Projekt Medienerstellung (6 LP),6,34355300 FG S-Professur Quality and Usability,de,"Möller, Sebastian"
Projekt Nachrichtenübertragung,6,34331100 FG Nachrichtenübertragung,de,"Sikora, Thomas"
Projekt Neuronale Informationsverarbeitung,9,34351300 FG Neuronale Informationsverarbeitung,de,"Obermayer, Klaus"
Projektorientierte App- und Web-Entwicklung,6,34335700 FG S-Professur Service Centric Networking (SNET),de,"Küpper, Axel"
Projektorientiertes Praktikum,6,34341200 FG Mixed Signal Circuit Design,de,"Gerfers, Friedel"
Projektpraktikum Automatisierungstechnik,6,34311800 FG Regelungssysteme (Control Systems),de,"Schauer, Thomas"
Projekt Simulation und Technische Diagnose,6,34311600 FG Elektronische Mess- und Diagnosetechnik,de,"Gühmann, Clemens"
Projekt System Quality Engineering,9,34332300 FG Open Distributed Systems (ODS),de,"Hauswirth, Manfred"
Python for Machine Learning,6,34352000 FG Maschinelles Lernen,en,"Müller, Klaus-Robert"
Quality & Usability,3,34355300 FG S-Professur Quality and Usability,de,"Möller, Sebastian"
Quality and Reliability in Semiconductor Engineering,6,34311700 FG Sensorik und Aktuatorik / Messtechnik,en,"Thewes, Roland"
Quality Assurance for Machine Learning,3,"34352700 FG S-Professur Unsicherheit, inverse Modellierung und maschinelles Lernen (UNIML)",en,"Haufe, Stefan"
Quality Assurance of Embedded Systems,6,34351800 FG Software and Embedded Systems Engineering (SESE),en,"Glesner, Sabine"
Quantum Computing,6,34355100 FG S-Professur Security in Telecommunications (SecT),en,"Seifert, Jean-Pierre"
Quantum Cryptography,3,34355110 FG Quantum Communication and Cryptography,en,"Pappa, Anna"
Quellencodierung - Multimediasignalverarbeitung,6,34331100 FG Nachrichtenübertragung,de,"Sikora, Thomas"
Radio Astronomy Project (SIERRA),6,34321100 FG Hochfrequenztechnik/Hochfrequenztechnik-Photonik,en,"Burla, Maurizio"
Randomized Algorithmics,6,34351100 FG Algorithmik und Komplexitätstheorie,en,"Nichterlein, André"
RDSEM - Seminar on Responsible Data Engineering,3,34353500 FG Management von Data Science-Prozessen,en,"Schelter, Sebastian"
Reading Group Cloud Systems,3,34361700 FG Scalable Software Systems,en,"Bermbach, David"
Reaktive Systeme,6,34351900 FG Modelle und Theorie Verteilter Systeme (MTV),de,"Nestmann, Uwe"
Recent Advances in Computer Architecture,3,34341400 FG Architektur eingebetteter Systeme,en,"Juurlink, Bernardus"
Recent Trends in Deep Learning for Computer Vision,3,34342200 FG Remote Sensing Image Analysis,en,"Demir, Begüm"
Rechnernetze und Verteilte Systeme,6,34331200 FG Telekommunikationsnetze,de,"Dressler, Falko"
Rechnerorganisation,6,34341200 FG Mixed Signal Circuit Design,de,"Gerfers, Friedel"
Rechnerorganisation Praktikum,3,34341200 FG Mixed Signal Circuit Design,de,"Gerfers, Friedel"
Regelungstechnik,6,34311800 FG Regelungssysteme (Control Systems),de,"Raisch, Jörg"
Renewable Energy for Sustainable Electric Networks,12,34312000 FG Energieversorgungsnetze und Integration Erneuerbarer Energien (SENSE),en,"Strunz, Kai"
Renewable Energy Integration in Electric Networks,6,34312000 FG Energieversorgungsnetze und Integration Erneuerbarer Energien (SENSE),en,"Strunz, Kai"
Renewable Energy Technology in Electric Networks,6,34312000 FG Energieversorgungsnetze und Integration Erneuerbarer Energien (SENSE),en,"Strunz, Kai"
Research Colloquium on Algorithms and Complexity,3,34351100 FG Algorithmik und Komplexitätstheorie,en,"Nichterlein, André"
Research Project Advanced Network Technologies,9,34331200 FG Telekommunikationsnetze,en,"Dressler, Falko"
Responsible Artificial Intelligence,6,34352800 FG Maschinelles Lernen und Kommunikation,de,"Samek, Wojciech"
Robotics,6,34341700 FG Robotik | Robotics and Biology Laboratory,en,"Brock, Oliver"
Robotics: Advanced,6,34341700 FG Robotik | Robotics and Biology Laboratory,de,"Brock, Oliver"
Robotics: Current Topics,3,34341700 FG Robotik | Robotics and Biology Laboratory,en,"Brock, Oliver"
Robotics: Fundamentals,9,34341700 FG Robotik | Robotics and Biology Laboratory,en,"Brock, Oliver"
Robotics: Project,9,34341700 FG Robotik | Robotics and Biology Laboratory,en,"Brock, Oliver"
Robot Learning,6,34342100 FG Intelligent Systems,en,"Toussaint, Marc"
ROC Foundations for Graduate Research in Data Management and Machine Learning Systems,9,34351500 FG Datenbanksysteme und Informationsmanagement (DIMA),en,"Markl, Volker"
Satellite Communication Project (SIERRA; aka. Projekt Amateurfunk),6,34321100 FG Hochfrequenztechnik/Hochfrequenztechnik-Photonik,en,"Burla, Maurizio"
Scalability Engineering,6,34361700 FG Scalable Software Systems,de,"Bermbach, David"
Scalable Software Systems Project,12,34361700 FG Scalable Software Systems,en,"Bermbach, David"
Schalterverhalten im Netz,3,34311300 FG Hochspannungstechnik,de,"Plath, Ronald"
Schaltungstechnik,6,34311700 FG Sensorik und Aktuatorik / Messtechnik,de,"Thewes, Roland"
Schwerpunktprojekt: Halbleiterbauelemente und Schaltungsentwurf,6,34311700 FG Sensorik und Aktuatorik / Messtechnik,de,"Thewes, Roland"
Schwerpunktprojekt Hochspannungstechnik,6,34311300 FG Hochspannungstechnik,de,"Plath, Ronald"
Schwerpunktprojekt Lichttechnik,6,34311500 FG Lichttechnik,de,"Völker, Stephan"
Scientific Problems in the Field of Sensor and Actuator Systems,3,34311700 FG Sensorik und Aktuatorik / Messtechnik,en,"Thewes, Roland"
Secure Operational Control of Large-Scale Renewable Energy Systems and Power Grids,6,34312000 FG Energieversorgungsnetze und Integration Erneuerbarer Energien (SENSE),en,"Strunz, Kai"
Selected Areas of Telecommunication Networks,3,34331200 FG Telekommunikationsnetze,en,"Dressler, Falko"
Selected Topics in Cognitive Systems (ENHANCE Alliance),30,Fakultät IV,en,"Küpper, Axel"
Selected Topics in Data and Software Engineering (ENHANCE Alliance),30,Fakultät IV,en,"Küpper, Axel"
Selected Topics in Digital Media and Human-Computer Interaction (ENHANCE Alliance),30,Fakultät IV,en,"Küpper, Axel"
Selected Topics in Distributed Systems and Networks (ENHANCE Alliance),30,Fakultät IV,en,"Küpper, Axel"
Selected Topics in Embedded Systems and Computer Architectures (ENHANCE Alliance),30,Fakultät IV,en,"Küpper, Axel"
Selected Topics in Foundations of Computing (ENHANCE Alliance),30,Fakultät IV,en,"Küpper, Axel"
Selected Topics in Natural Language Processing,3,34353100 FG Sprache und Kommunikation in biologischen und künstlichen Systemen,en,"Deniz, Fatma"
Seminar: Aktuelle Forschungsthemen in Programmiersprachen und Compilern,3,34353200 FG Programmiersprachen,en,"Steuwer, Michel"
Seminar Aktuelle Forschung an Batterien,3,34312100 FG Elektrische Energiespeichertechnik (EET),de,"Kowal, Julia"
Seminar Energiespeichertechnik,6,34312100 FG Elektrische Energiespeichertechnik (EET),de,"Kowal, Julia"
Seminar Hot Topics in Computer Vision,3,34341600 FG Computer Vision and Remote Sensing,en,"Hellwich, Olaf"
Seminar Large-scale Data Engineering,3,34352900 FG Big Data Engineering,en,"Böhm, Matthias"
Seminar Mess- und Diagnosetechnik,3,34311600 FG Elektronische Mess- und Diagnosetechnik,en,"Gühmann, Clemens"
Seminar on Artificial Intelligence for Biomedical Applications,6,34321400 FG Halbleiterbauelemente und Mikroelektroniksysteme,en,"Jadaun, Priyamvada"
Seminar on Quantum Bio-Sensing,6,34321400 FG Halbleiterbauelemente und Mikroelektroniksysteme,en,"Jadaun, Priyamvada"
Seminar Software and Embedded Systems Engineering,3,34351800 FG Software and Embedded Systems Engineering (SESE),en,"Glesner, Sabine"
Signale und Systeme,6,34331100 FG Nachrichtenübertragung,de,"Sikora, Thomas"
Simulation,6,34311600 FG Elektronische Mess- und Diagnosetechnik,de,"Gühmann, Clemens"
Simulation und Technische Diagnose,6,34311600 FG Elektronische Mess- und Diagnosetechnik,,"Gühmann, Clemens"
SIP - Stereo Image Processing,3,34341600 FG Computer Vision and Remote Sensing,en,"Hellwich, Olaf"
Smart Communication Systems,9,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),en,"Albayrak, Sahin"
Smart Grids for Multi-Energy Distribution,6,34312000 FG Energieversorgungsnetze und Integration Erneuerbarer Energien (SENSE),en,"Strunz, Kai"
Smart Security Lab,6,34353000 FG Maschinelles Lernen und IT-Sicherheit,en,"Rieck, Konrad"
Smart Sensors and Actuators,6,34311700 FG Sensorik und Aktuatorik / Messtechnik,en,"Thewes, Roland"
Software Engineering cyber-physischer Systeme,6,34351800 FG Software and Embedded Systems Engineering (SESE),de,"Glesner, Sabine"
Software Engineering eingebetteter Systeme,6,34351800 FG Software and Embedded Systems Engineering (SESE),de,"Glesner, Sabine"
Software Security for Autonomous Systems,6,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),en,"Albayrak, Sahin"
Software Security Lab,6,34355100 FG S-Professur Security in Telecommunications (SecT),en,"Seifert, Jean-Pierre"
Softwaretechnik und Programmierparadigmen,6,34351800 FG Software and Embedded Systems Engineering (SESE),de,"Glesner, Sabine"
Solarstrahlung,6,34311500 FG Lichttechnik,de,"Völker, Stephan"
Special Topics in Communications Networks and Autonomous Security,3,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),en,"Albayrak, Sahin"
Speech and Audio Technology in Medicine,3,34311900 FG Elektronische Systeme der Medizintechnik,en,"Kolossa, Dorothea"
Speech Signal Processing and Speech Technology,6,34355300 FG S-Professur Quality and Usability,en,"Möller, Sebastian"
Spezielle Anwendungen der Feldsimulation,6,34321600 FG Theoretische Elektrotechnik,de,"Schuhmann, Rolf"
State Estimation and Diagnosis of Battery Systems,6,34312100 FG Elektrische Energiespeichertechnik (EET),en,"Kowal, Julia"
State Estimation for Robotics,6,34342000 FG Robotic Interactive Perception,en,"Gallego, Guillermo"
Steuerung und Regelung leistungselektronischer Systeme,6,34311200 FG Leistungselektronik,de,"Dieckerhoff, Sibylle"
Structural Graph Theory,9,34352200 FG Logik und Semantik,"de, en","Kreutzer, Stephan"
Structure and Algorithmic Applications of Directed Graphs,6,34352200 FG Logik und Semantik,en,"Kreutzer, Stephan"
Study Project Quality & Usability (6 CP),6,34355300 FG S-Professur Quality and Usability,"de, en","Möller, Sebastian"
Study Project Quality & Usability (9 CP),9,34355300 FG S-Professur Quality and Usability,"de, en","Möller, Sebastian"
Summer School,4,34335700 FG S-Professur Service Centric Networking (SNET),en,"Küpper, Axel"
Surface Technologies for Energy Efficiency and Renewable Energies,6,34325800 FG S-Professur Technologie für Dünnschicht-Bauelemente,"de, en","Szyszka, Bernd"
Symmetric-Key Cryptography,6,34355100 FG S-Professur Security in Telecommunications (SecT),en,"Seifert, Jean-Pierre"
System-on-Chip (SoC) + RISC-V Lab,12,34341200 FG Mixed Signal Circuit Design,de,"Gerfers, Friedel"
Systemprogrammierung,6, 34331500 FG Distributed and Operating Systems (DOS),de,"Kao, Odej"
Technische Diagnose,6,34311600 FG Elektronische Mess- und Diagnosetechnik,de,"Gühmann, Clemens"
Technische Grundlagen der Informatik,6,34355100 FG S-Professur Security in Telecommunications (SecT),de,"Seifert, Jean-Pierre"
Technology for Thin Film Devices,6,34325800 FG S-Professur Technologie für Dünnschicht-Bauelemente,en,"Szyszka, Bernd"
The AMOS Project - Product Owner Role,6,34332300 FG Open Distributed Systems (ODS),en,"Hauswirth, Manfred"
The AMOS Project - Scrum Master Role,3,34332300 FG Open Distributed Systems (ODS),en,"Hauswirth, Manfred"
The AMOS Project - Software Developer Role,9,34332300 FG Open Distributed Systems (ODS),en,"Hauswirth, Manfred"
Theoretische Grundlagen der Informatik,6,34352100 FG Modellierung kognitiver Prozesse,de,"Sprekeler, Henning"
Theorie elektromagnetischer Felder und Wellen,6,34321600 FG Theoretische Elektrotechnik,de,"Schuhmann, Rolf"
Theorie und Anwendungen der Mess- und Diagnosetechnik,6,34311600 FG Elektronische Mess- und Diagnosetechnik,de,"Gühmann, Clemens"
The Software Horror Picture Show,3,34351900 FG Modelle und Theorie Verteilter Systeme (MTV),de,"Nestmann, Uwe"
Topics in Biomedical Data Science,3,"34352700 FG S-Professur Unsicherheit, inverse Modellierung und maschinelles Lernen (UNIML)",en,"Haufe, Stefan"
Tracking Methoden im Maschinellen Sehen,3,34342000 FG Robotic Interactive Perception,de,"Gallego, Guillermo"
Types and Programming Languages,6,34353200 FG Programmiersprachen,en,"Steuwer, Michel"
Umweltgerechtes Design elektronischer Systeme,6,34325000 FG Werkstoffe der hetero-Systemintegration,de,"Schneider-Ramelow, Martin"
Umweltgerechtes Design elektronischer Systeme (Theorie),3,34325000 FG Werkstoffe der hetero-Systemintegration,de,"Schneider-Ramelow, Martin"
Uncertainty in Machine Learning,3,"34352700 FG S-Professur Unsicherheit, inverse Modellierung und maschinelles Lernen (UNIML)",en,"Haufe, Stefan"
Usability Engineering,6,34355300 FG S-Professur Quality and Usability,de,"Möller, Sebastian"
Usability Engineering in Information and Communication Technologies,6,34355300 FG S-Professur Quality and Usability,de,"Möller, Sebastian"
Usability Engineering in Information and Communication Technologies,6,34355300 FG S-Professur Quality and Usability,de,"Möller, Sebastian"
Vehicular Networking and Cooperative Driving,6,34331200 FG Telekommunikationsnetze,en,"Dressler, Falko"
Verkehrssicherheit und Beleuchtung,6,34311500 FG Lichttechnik,de,"Völker, Stephan"
Verteilte Systeme,6, 34331500 FG Distributed and Operating Systems (DOS),de,"Kao, Odej"
Vertiefende Themen in HCI,6,34353300 FG Mensch-Computer-Interaktion (HCI),de,"George, Ceenu"
Vertiefung Photovoltaik,6,34321800 FG Perowskit-Solarzellen,de,"Albrecht, Steve"
Vertiefung Photovoltaik intensiv,9,34321800 FG Perowskit-Solarzellen,de,"Albrecht, Steve"
VS - View Synthesis,3,34341600 FG Computer Vision and Remote Sensing,en,"Hellwich, Olaf"
Wahlmodul Beleuchtungstechnik,6,34311500 FG Lichttechnik,de,"Völker, Stephan"
Wahrnehmung und Handeln,6,34351300 FG Neuronale Informationsverarbeitung,en,"Obermayer, Klaus"
Websecurity,6,34355100 FG S-Professur Security in Telecommunications (SecT),de,"Seifert, Jean-Pierre"
Webtechnologien,6,34335700 FG S-Professur Service Centric Networking (SNET),de,"Küpper, Axel"
Wettbewerbsrecht,6,34355300 FG S-Professur Quality and Usability,de,"Möller, Sebastian"
Wind Power Generation,6,34311100 FG Elektrische Antriebstechnik (EA),de,"Schäfer, Uwe"
Wireless Communications Lab,6,34331600 FG Theoretische Grundlagen der Kommunikationstechnik,en,"Kortke, Andreas"
Wireless Communications Lab,6,34331600 FG Theoretische Grundlagen der Kommunikationstechnik,en,"Kortke, Andreas"
Wireless Communication Systems,6,34331600 FG Theoretische Grundlagen der Kommunikationstechnik,en,"Caire, Giuseppe"
Wireless Networking Technologies,6,34331200 FG Telekommunikationsnetze,en,"Dressler, Falko"
Wissenschaftliches Arbeiten in der Elektrotechnik. Eine Einführung.,3,34311300 FG Hochspannungstechnik,de,"Plath, Ronald"
Wissenschaftliches Arbeiten in der Medieninformatik,5,34355300 FG S-Professur Quality and Usability,de,"Möller, Sebastian"
Wissenschaftliches Rechnen,6,34341300 FG Computer Graphics,de,"Alexa, Marc"
World of Proofcraft,6,34351900 FG Modelle und Theorie Verteilter Systeme (MTV),de,"Nestmann, Uwe"
Zeitdiskrete Regelsysteme,6,34311800 FG Regelungssysteme (Control Systems),de,"Schauer, Thomas"
Zeitdiskrete Regelsysteme,6,34311800 FG Regelungssysteme (Control Systems),de,"Schauer, Thomas"
Zuverlässigkeit integrierter Elektroniksysteme,3,34325000 FG Werkstoffe der hetero-Systemintegration,de,"Schneider-Ramelow, Martin"
