name,department,format
Studie FS,34355300 FG S-Professur Quality and Usability,Lab
Hardware Security (Vorlesung),34355100 FG S-Professur Security in Telecommunications (SecT),Lecture
IntroProg,34332300 FG Open Distributed Systems (ODS),Exam review
AG Rechnersicherheit,34355100 FG S-Professur Security in Telecommunications (SecT),Working group
Internet of Services Lab: Introductory Lecture (Seminar) ,34335700 FG S-Professur Service Centric Networking (SNET),Seminar
2. Klausur im Informatik Propädeutikum,34341900 FG Computational Psychology,Working group
Klausureinsicht,34352100 FG Modellierung kognitiver Prozesse,Exam review
Deep Learning 1,34352000 FG Maschinelles Lernen,Exam review
Webtechnologien (Übung),34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Optimization Algorithms Klausur Zweiter Termin,34342100 FG Intelligent Systems,Integrated course
Machine Intelligence II (Übung)  ,34351300 FG Neuronale Informationsverarbeitung,Practical tutorial
Digitale Systeme (Übung)  ,34355300 FG S-Professur Quality and Usability,Practical tutorial
Neurokolloquium (Kolloquium)  ,34353100 FG Sprache und Kommunikation in biologischen und künstlichen Systemen,Colloquium
Algorithmentheorie (Tutorium),34351100 FG Algorithmik und Komplexitätstheorie,Tutorial
MMIC4U Chip Class (Integrierte Veranstaltung)  ,34341200 FG Mixed Signal Circuit Design,Integrated course
Algorithmen und Datenstrukturen (AlgoDat) (Übung)  ,34341700 FG Robotik | Robotics and Biology Laboratory,Practical tutorial
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 1,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Systemprogrammierung (Übung), 34331500 FG Distributed and Operating Systems (DOS),Practical tutorial
Praktisches Programmieren und Rechneraufbau (Übung)  ,34351300 FG Neuronale Informationsverarbeitung,Practical tutorial
Formale Sprachen und Automaten (Übung)  ,34351900 FG Modelle und Theorie Verteilter Systeme (MTV),Practical tutorial
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 9,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Internet and Networked Systems Project (Projekt)  ,34331700 FG Intelligent Networks and Management of Distributed Systems (INET),Project
MMIC4U Chip Project (Projekt)  ,34341200 FG Mixed Signal Circuit Design,Project
Internet of Services Lab: Introductory Lecture (Projekt),34335700 FG S-Professur Service Centric Networking (SNET),Project
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 2,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Usability Engineering (Integrierte Veranstaltung)  ,34355300 FG S-Professur Quality and Usability,Integrated course
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 3,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Einführung in die Informatik - Vertiefung (Übung)  ,34351300 FG Neuronale Informationsverarbeitung,Practical tutorial
Image Processing and Learning for Earth Observation (IPL4EO) (Integrierte Veranstaltung)  ,34342200 FG Remote Sensing Image Analysis,Integrated course
VS - View Synthesis (Vorlesung)  ,34341600 FG Computer Vision and Remote Sensing,Lecture
Programming Course and Project (Projekt)  ,34352100 FG Modellierung kognitiver Prozesse,Project
AOT-Praktikum Intelligente Softwaresysteme (Praktikum)  ,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Practical course
Cryptography (Übung),34355100 FG S-Professur Security in Telecommunications (SecT),Practical tutorial
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 16,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Deep Learning 2 - main (Integrierte Veranstaltung) ,34352000 FG Maschinelles Lernen,Integrated course
System-on-Chip - Entwurf und Programmierung (Vorlesung)  ,34341200 FG Mixed Signal Circuit Design,Lecture
Theory and Algorithms of Machine Learning for Communication (Vorlesung)  ,34331800 FG Netzwerk- und Informationstheorie,Lecture
AOT-Praktikum Intelligente Softwaresysteme,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Practical course
Einführung in die Informatik - Vertiefung (Übung),34351300 FG Neuronale Informationsverarbeitung,Practical tutorial
Programming Project: Data Science in Python and R (Praktikum),34341900 FG Computational Psychology,Practical course
Programmierpraktikum Kommunikationstechnologien (Praktikum)  ,34331200 FG Telekommunikationsnetze,Practical course
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 5,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Kognitive Algorithmen (Integrierte Veranstaltung)  ,34352000 FG Maschinelles Lernen,Integrated course
Verteilte Systeme (Übung), 34331500 FG Distributed and Operating Systems (DOS),Practical tutorial
Advanced Topics in Networked and Distributed Systems (Seminar)  ,34331700 FG Intelligent Networks and Management of Distributed Systems (INET),Seminar
Large-scale Data Engineering (Seminar)  ,34352900 FG Big Data Engineering,Seminar
Data Science for Computer Scientists (Vorlesung),34353400 FG Data Integration and Data Preparation,Lecture
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 4,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Embedded Systems Security Lab (Praktikum)  ,34355100 FG S-Professur Security in Telecommunications (SecT),Practical course
Networked Systems Security (Seminar)  ,34331700 FG Intelligent Networks and Management of Distributed Systems (INET),Seminar
Robotics: Fundamentals (Integrierte Veranstaltung)  ,34341700 FG Robotik | Robotics and Biology Laboratory,Integrated course
Data Integration Systems Programmierung (DIPRA) (Praktikum)  ,34353400 FG Data Integration and Data Preparation,Practical course
Software Security (Praktikum),34355100 FG S-Professur Security in Telecommunications (SecT),Practical course
Multimedia and Wireless Lab (Praktikum)  ,34331700 FG Intelligent Networks and Management of Distributed Systems (INET),Practical course
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 6,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Large-scale Data Engineering (Projekt)  ,34352900 FG Big Data Engineering,Project
Biometric Identification and Verification (Seminar)  ,34355300 FG S-Professur Quality and Usability,Seminar
AOT-Praktikum Intelligente Softwaresysteme (Praktikum),34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Practical course
Quality and Usability (Seminar)  ,34355300 FG S-Professur Quality and Usability,Seminar
Programmierpraktikum: Moderne verteilte Anwendungen (Praktikum)  ,34332300 FG Open Distributed Systems (ODS),Practical course
Applications of Robotics and Autonomous Systems (Projekt)  ,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Project
Study Project Quality und Usability (6 CP) (Projekt)  ,34355300 FG S-Professur Quality and Usability,Project
Multimodal Interaction (Integrierte Veranstaltung)  ,34355300 FG S-Professur Quality and Usability,Integrated course
High-Frequency Data Converters: Design and Implementation (Vorlesung)  ,34341200 FG Mixed Signal Circuit Design,Lecture
Ambient Assisted Living (Bachelor) (Projekt)  ,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Project
Algorithmentheorie (Vorlesung)  ,34351100 FG Algorithmik und Komplexitätstheorie,Lecture
Digitale Systeme (Vorlesung)  ,34355300 FG S-Professur Quality and Usability,Lecture
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 7,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Blockchain Prototyping - Specialisation (Projekt)  ,34361400 FG Wirtschaftsinformatik - Information Systems Engineering (ISE),Project
Projektorientierte App- und Web-Entwicklung (Projekt)  ,34335700 FG S-Professur Service Centric Networking (SNET),Project
Natural Language Processing (Integrierte Veranstaltung)  ,34355300 FG S-Professur Quality and Usability,Integrated course
Applied Security Lab (Praktikum)  ,34353000 FG Maschinelles Lernen und IT-Sicherheit,Practical course
Nachrichtenübertragung (Projekt)  ,34331100 FG Nachrichtenübertragung,Project
Hot Topics in Communication Systems (Seminar)  ,34331100 FG Nachrichtenübertragung,Seminar
Data Integration and Data Prepration - Master Thesis (MTC) (Kolloquium)  ,34353400 FG Data Integration and Data Preparation,Colloquium
Master Project Software Engineering of Embedded Systems (Seminar),34351800 FG Software and Embedded Systems Engineering (SESE),Seminar
Cloud Native Architecture and Engineering (Integrierte Veranstaltung)  ,34361400 FG Wirtschaftsinformatik - Information Systems Engineering (ISE),Integrated course
High-Frequency Data Converters: Design and Implementation (Projekt)  ,34341200 FG Mixed Signal Circuit Design,Project
Programming Language Design and Implementation (Praktikum)  ,34353200 FG Programmiersprachen,Practical course
 5G Evolution / 6G (Projekt),34335400 FG S-Professur Architekturen der Vermittlungsknoten,Project
Digitale Nachrichtenübertragung (Vorlesung)  ,34331100 FG Nachrichtenübertragung,Lecture
Projektorientiertes Praktikum (FG Mixed Signal Circuit Design) (Projekt)  ,34341200 FG Mixed Signal Circuit Design,Project
Internet and Network Security,34331700 FG Intelligent Networks and Management of Distributed Systems (INET),Integrated course
Aktuelle Themen in visueller Wahrnehmungsforschung (Seminar)  ,34341900 FG Computational Psychology,Seminar
Python for Machine Learning (Integrierte Veranstaltung)  ,34352000 FG Maschinelles Lernen,Integrated course
Hot Topics in Computer Vision A (Projekt)  ,34341600 FG Computer Vision and Remote Sensing,Project
Computational Model Theory,34352200 FG Logik und Semantik,Integrated course
Event-based Robot Vision (Vorlesung)  ,34342000 FG Robotic Interactive Perception,Lecture
Automatic Image Analysis (Vorlesung)  ,34341600 FG Computer Vision and Remote Sensing,Lecture
Anwendungssysteme (Vorlesung)  ,34361700 FG Scalable Software Systems,Lecture
Master Project: Distributed Systems (Projekt)  , 34331500 FG Distributed and Operating Systems (DOS),Project
System-on-Chip (Projekt)  ,34341200 FG Mixed Signal Circuit Design,Project
Blockchain Technology (Vorlesung)  ,34331700 FG Intelligent Networks and Management of Distributed Systems (INET),Lecture
Digitale Nachrichtenübertragung (Praktikum),34331100 FG Nachrichtenübertragung,Practical course
X-Tutorial: Evaluating Gender Bias in German Machine Translation,34355300 FG S-Professur Quality and Usability,Student research project
Project Deep Learning for Earth Observation (DL4EO) (Projekt)  ,34342200 FG Remote Sensing Image Analysis,Project
Projekt KI - symbolische Künstliche Intelligenz (Projekt)  ,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Project
Logische Methoden der Informatik (Vorlesung)  ,34352200 FG Logik und Semantik,Lecture
Introduction to Modeling Collective Behavior,34342000 FG Robotic Interactive Perception,Seminar
Bachelor Seminar: Operating Complex IT-Systems (Seminar)  , 34331500 FG Distributed and Operating Systems (DOS),Seminar
Master Seminar: Operating Complex IT-Systems (Seminar)  , 34331500 FG Distributed and Operating Systems (DOS),Seminar
DCAITI: Simulation Vertiefung vernetztes und automatisiertes Fahren (Projekt)  ,34332300 FG Open Distributed Systems (ODS),Project
Compiling Techniques (Praktikum)  ,34353200 FG Programmiersprachen,Practical course
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 15,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
5G Evolution / 6G (Projekt)  ,34335400 FG S-Professur Architekturen der Vermittlungsknoten,Project
Einführung in die Künstliche Intelligenz (Vorlesung)  ,34342100 FG Intelligent Systems,Lecture
Angewandte Netzwerktechnologien (Projekt)  ,34331200 FG Telekommunikationsnetze,Project
Research Project Advanced Network Technologies (Projekt)  ,34331200 FG Telekommunikationsnetze,Project
Advanced Network Technologies (Projekt)  ,34331200 FG Telekommunikationsnetze,Project
AI and Cybersecurity (Integrierte Veranstaltung)  ,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Integrated course
Advanced Cloud Prototyping (Projekt)  ,34361400 FG Wirtschaftsinformatik - Information Systems Engineering (ISE),Project
Cloud Prototyping (Projekt)  ,34361400 FG Wirtschaftsinformatik - Information Systems Engineering (ISE),Project
Hot Topics in Computer Vision C (Seminar)  ,34341600 FG Computer Vision and Remote Sensing,Seminar
DCAITI: Simulation vernetztes und automatisiertes Fahren (Projekt)  ,34332300 FG Open Distributed Systems (ODS),Project
DCAITI: Projekt Vertiefung vernetztes und automatisiertes Fahren (Projekt)  ,34332300 FG Open Distributed Systems (ODS),Project
DCAITI: Projekt vernetztes und automatisiertes Fahren (Projekt)  ,34332300 FG Open Distributed Systems (ODS),Project
International Information Security Contest (Projekt)  ,34355100 FG S-Professur Security in Telecommunications (SecT),Project
Entwurf eingebetteter Systeme (Projekt)  ,34351800 FG Software and Embedded Systems Engineering (SESE),Project
PGT: Project Meeting / Projektgruppentreffen (Doktorandenseminar INET) (Seminar)  ,34331700 FG Intelligent Networks and Management of Distributed Systems (INET),Seminar
Einführung in die Künstliche Intelligenz (Übung)  ,34342100 FG Intelligent Systems,Practical tutorial
Selected Topics in Wireless Communications and Networking (Vorlesung)  ,34331800 FG Netzwerk- und Informationstheorie,Lecture
Introduction to Camera Geometry (Seminar)  ,34342000 FG Robotic Interactive Perception,Seminar
Wireless Networking Technologies (Integrierte Veranstaltung)  ,34331200 FG Telekommunikationsnetze,Integrated course
Blockchain Prototyping (Projekt)  ,34361400 FG Wirtschaftsinformatik - Information Systems Engineering (ISE),Project
Formale Sprachen und Automaten (Vorlesung)  ,34351900 FG Modelle und Theorie Verteilter Systeme (MTV),Lecture
Compiling Techniques (Vorlesung)  ,34353200 FG Programmiersprachen,Lecture
Geschäftsprozesse (Übung),34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Agententechnologien: Grundlagen und Anwendungen (Integrierte Veranstaltung)  ,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Integrated course
Julia for Machine Learning (Integrierte Veranstaltung),34352000 FG Maschinelles Lernen,Integrated course
Medical Image Processing (Vorlesung)  ,34341600 FG Computer Vision and Remote Sensing,Lecture
AMOS - Scrum Master (Seminar)  ,34332300 FG Open Distributed Systems (ODS),Seminar
Foundations of Data Literacy and Data Science (Vorlesung)  ,34353100 FG Sprache und Kommunikation in biologischen und künstlichen Systemen,Lecture
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 8,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Automatic Image Analysis (Übung)  ,34341600 FG Computer Vision and Remote Sensing,Practical tutorial
Systemprogrammierung (Übung)  , 34331500 FG Distributed and Operating Systems (DOS),Practical tutorial
Interdisziplinäres Medienprojekt (Projekt)  ,34355300 FG S-Professur Quality and Usability,Project
Geschäftsprozesse (Vorlesung)  ,34335700 FG S-Professur Service Centric Networking (SNET),Lecture
Data Science for Computer Scientists (Tutorium)  ,34353400 FG Data Integration and Data Preparation,Tutorial
Einführung in die Informatik - Vertiefung (Vorlesung)  ,34351300 FG Neuronale Informationsverarbeitung,Lecture
Motion Planning (Integrierte Veranstaltung)  ,34342300 FG Multi-Roboter-Systeme,Integrated course
Vehicle-2-X Communication (Vorlesung)  ,34332300 FG Open Distributed Systems (ODS),Lecture
Programmierung  skalierbarer Websysteme (Praktikum)  , 34331500 FG Distributed and Operating Systems (DOS),Practical course
Programmierpraktikum: Cyber-Physical Systems (PCPS) (Praktikum)  ,34351800 FG Software and Embedded Systems Engineering (SESE),Practical course
Information Systems Engineering (Oberseminar)  ,34361400 FG Wirtschaftsinformatik - Information Systems Engineering (ISE),Research seminar
Master Project Software Engineering of Embedded Systems (Projekt),34351800 FG Software and Embedded Systems Engineering (SESE),Project
Fortgeschrittene Programmierung mit Java (Prog2) (Vorlesung)  ,34335700 FG S-Professur Service Centric Networking (SNET),Lecture
Modelle zur Informationsverarbeitung im Gehirn (Vorlesung)  ,34351300 FG Neuronale Informationsverarbeitung,Lecture
Adaptive Filter (Vorlesung)  ,34331100 FG Nachrichtenübertragung,Lecture
Advanced Analog Integrated Circuit (Vorlesung)  ,34341200 FG Mixed Signal Circuit Design,Lecture
Advanced Topics in Data Integration (ATDISE) (Seminar),34353400 FG Data Integration and Data Preparation,Seminar
Randomized Algorithmics,34351100 FG Algorithmik und Komplexitätstheorie,Integrated course
Event-based Robot Vision (Übung)  ,34342000 FG Robotic Interactive Perception,Practical tutorial
Advanced Web Technologies II (Projekt)  ,34332300 FG Open Distributed Systems (ODS),Project
AMOS - Product Owner Role (Projekt)  ,34332300 FG Open Distributed Systems (ODS),Project
AMOS - Software Developer Role (Projekt)  ,34332300 FG Open Distributed Systems (ODS),Project
Advanced Web Technologies (Projekt)  ,34332300 FG Open Distributed Systems (ODS),Project
Public Key Cryptography (Vorlesung)  ,34355100 FG S-Professur Security in Telecommunications (SecT),Lecture
Data Science Project (Projekt)  ,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Project
Quellencodierung (Vorlesung)  ,34331100 FG Nachrichtenübertragung,Lecture
Advanced Analog Integrated Circuit (Projekt)  ,34341200 FG Mixed Signal Circuit Design,Project
Open Distributed Systems (ODS) (Projekt),34332300 FG Open Distributed Systems (ODS),Project
AI Engineering of Nanonetworks (Integrierte Veranstaltung)  ,34331200 FG Telekommunikationsnetze,Integrated course
Hot Topics in Information Systems Engineering (Seminar),34361400 FG Wirtschaftsinformatik - Information Systems Engineering (ISE),Seminar
Autonome Fahrzeuge (Seminar)  ,34332300 FG Open Distributed Systems (ODS),Seminar
Applied Artificial Intelligence Project (Projekt)  ,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Project
Modern Signal Processing for Communications (Vorlesung)  ,34331800 FG Netzwerk- und Informationstheorie,Lecture
Projekt Medienerstellung (5 LP) (Projekt)  ,34355300 FG S-Professur Quality and Usability,Project
Large Language Models in Human-Computer Interaction,34355300 FG S-Professur Quality and Usability,Seminar
Responsible Artificial Intelligence II (Vorlesung)  ,34352800 FG Maschinelles Lernen und Kommunikation,Lecture
Intelligente Software Systeme (Seminar)  ,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Seminar
Diskrete Strukturen (Vorlesung)  ,34351100 FG Algorithmik und Komplexitätstheorie,Lecture
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 10,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Neue Webtechnologien (Programmierpraktikum)  ,34335700 FG S-Professur Service Centric Networking (SNET),Programming practical course
Machine Intelligence II (Vorlesung)  ,34351300 FG Neuronale Informationsverarbeitung,Lecture
Einführung in die IT-Sicherheit (Vorlesung)  ,34355100 FG S-Professur Security in Telecommunications (SecT),Lecture
Algorithms for Distributed Systems (Integrierte Veranstaltung)  ,34331700 FG Intelligent Networks and Management of Distributed Systems (INET),Integrated course
Open Distributed Systems (ODS) (Seminar)  ,34332300 FG Open Distributed Systems (ODS),Seminar
Engineering Data for Machine Learning (Übung)  ,34353500 FG Management von Data Science-Prozessen,Practical tutorial
Applied Computer Vision (Vorlesung)  ,34341600 FG Computer Vision and Remote Sensing,Lecture
Microwave and Radar Remote Sensing (Übung)  ,34341600 FG Computer Vision and Remote Sensing,Practical tutorial
Recent Trends in Deep Learning for Computer Vision (Seminar)  ,34342200 FG Remote Sensing Image Analysis,Seminar
Applications of Robotics and Autonomous Systems (Projekt),34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Project
Data Science for Cognitive Neuroscience (Integrierte Veranstaltung)  ,34353100 FG Sprache und Kommunikation in biologischen und künstlichen Systemen,Integrated course
Foundations of Data Literacy and Data Science (Übung)  ,34353100 FG Sprache und Kommunikation in biologischen und künstlichen Systemen,Practical tutorial
Machine Learning for Computer Security (Integrierte Veranstaltung)  ,34353000 FG Maschinelles Lernen und IT-Sicherheit,Integrated course
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 11,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Datensysteme - Machine Learning Pipelines (Praktikum)  ,34353500 FG Management von Data Science-Prozessen,Practical course
Applied Computer Vision (Übung)  ,34341600 FG Computer Vision and Remote Sensing,Practical tutorial
Microwave and Radar Remote Sensing (Vorlesung)  ,34341600 FG Computer Vision and Remote Sensing,Lecture
Robotics: Current Topics (Seminar)  ,34341700 FG Robotik | Robotics and Biology Laboratory,Seminar
Engineering Data for Machine Learning (Vorlesung)  ,34353500 FG Management von Data Science-Prozessen,Lecture
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 12,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Network Simulation (Integrierte Veranstaltung)  ,34331200 FG Telekommunikationsnetze,Integrated course
Einführung in die Informatik - Vertiefung (Übung),34351300 FG Neuronale Informationsverarbeitung,Practical tutorial
5G / 6G Software Networks (Vorlesung)  ,34335400 FG S-Professur Architekturen der Vermittlungsknoten,Lecture
Verteilte Systeme (Vorlesung)  , 34331500 FG Distributed and Operating Systems (DOS),Lecture
Advanced Wireless Communications I (Vorlesung)  ,34331600 FG Theoretische Grundlagen der Kommunikationstechnik,Lecture
Grundlagen Digitaler Vernetzung (Vorlesung)  ,34332300 FG Open Distributed Systems (ODS),Lecture
Cryptography for Security (Vorlesung),34355100 FG S-Professur Security in Telecommunications (SecT),Lecture
Modellierung in der Computergraphik (Computergraphik II) (Vorlesung)  ,34341300 FG Computer Graphics,Lecture
Large Scale Data Integration (LSDIPro) (Projekt),34353400 FG Data Integration and Data Preparation,Project
Study Project - Chatbot Challenge,34355300 FG S-Professur Quality and Usability,Project
Diskrete Strukturen (Vorlesung)  ,34351100 FG Algorithmik und Komplexitätstheorie,Lecture
Algebraische Prozesskalküle (Integrierte Veranstaltung)  ,34351900 FG Modelle und Theorie Verteilter Systeme (MTV),Integrated course
Advanced Wireless Communications II (Seminar)  ,34331600 FG Theoretische Grundlagen der Kommunikationstechnik,Seminar
Grundlagen Digitaler Vernetzung (Seminar)  ,34332300 FG Open Distributed Systems (ODS),Seminar
Robot Learning (Integrierte Veranstaltung)  ,34342100 FG Intelligent Systems,Integrated course
Vehicular Networking and Cooperative Driving (Integrierte Veranstaltung)  ,34331200 FG Telekommunikationsnetze,Integrated course
Datacenter networking and Software-Defined Networks (Integrierte Veranstaltung)  ,34331700 FG Intelligent Networks and Management of Distributed Systems (INET),Integrated course
System Quality Engineering (Projekt)  ,34332300 FG Open Distributed Systems (ODS),Project
Introduction into Critical Data Studies (Seminar)  ,34332900 FG Internet und Gesellschaft,Seminar
Event-based Robot Vision (Projekt)  ,34342000 FG Robotic Interactive Perception,Project
RoboCup (Projekt)  ,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Project
Machine Learning and Security (Projekt)  ,34353000 FG Maschinelles Lernen und IT-Sicherheit,Project
Modelle zur Informationsverarbeitung im Gehirn (Übung)  ,34351300 FG Neuronale Informationsverarbeitung,Practical tutorial
Computer Security,34355100 FG S-Professur Security in Telecommunications (SecT),Advanced seminar
Modellierung in der Computergraphik (Computergraphik II) (Übung)  ,34341300 FG Computer Graphics,Practical tutorial
Natural Language Processing for Social Good (Programmierpraktikum)  ,34332900 FG Internet und Gesellschaft,Programming practical course
Implementierung digitaler Systeme zur Echtzeit-Signalverarbeitung (Integrierte Veranstaltung)  ,34331600 FG Theoretische Grundlagen der Kommunikationstechnik,Integrated course
Active Sensing (Seminar),34351300 FG Neuronale Informationsverarbeitung,Seminar
Studienprojekt Augmented Campus Map (ACAMA),34355300 FG S-Professur Quality and Usability,Project
Selected Areas of Telecommunication Networks (Seminar)  ,34331200 FG Telekommunikationsnetze,Seminar
Quantum Computing (Vorlesung)  ,34355100 FG S-Professur Security in Telecommunications (SecT),Lecture
Architecture of Machine Learning Systems (AMLS) (Vorlesung),34352900 FG Big Data Engineering,Lecture
Blockchain Lab (Projekt)  ,34331700 FG Intelligent Networks and Management of Distributed Systems (INET),Project
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 13,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Deep Learning 2 (Integrierte Veranstaltung) (Übung),34352000 FG Maschinelles Lernen,Integrated course
Responsible Data Engineering (Seminar)  ,34353500 FG Management von Data Science-Prozessen,Seminar
Medical Image Processing (Übung)  ,34341600 FG Computer Vision and Remote Sensing,Practical tutorial
Praktisches Programmieren und Rechneraufbau (Vorlesung)  ,34351300 FG Neuronale Informationsverarbeitung,Lecture
Autonomous Security (Seminar),34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Seminar
Master Seminar: Machine Learning and Security (Seminar)  ,34353000 FG Maschinelles Lernen und IT-Sicherheit,Seminar
IT-Security Lab: Vulnerability Assessment (Praktikum),34355100 FG S-Professur Security in Telecommunications (SecT),Practical course
Advanced Project - RR,34355300 FG S-Professur Quality and Usability,Project
Multi-Robot Systems (Seminar)  ,34342300 FG Multi-Roboter-Systeme,Seminar
Klassische Algorithmen der Computer-Graphik (Seminar),34341300 FG Computer Graphics,Seminar
Computer Graphics (Projekt),34341300 FG Computer Graphics,Project
Systemprogrammierung (Vorlesung)  , 34331500 FG Distributed and Operating Systems (DOS),Lecture
Maschinelles Lernen II (Integrierte Veranstaltung),34352000 FG Maschinelles Lernen,Integrated course
Computer Graphics B (Seminar),34341300 FG Computer Graphics,Seminar
Programmierpraktikum: Modelle Dynamischer Systeme (Praktikum),34351900 FG Modelle und Theorie Verteilter Systeme (MTV),Practical course
Autonomous Security (Seminar)  ,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Seminar
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 14,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Algorithmen und Datenstrukturen (AlgoDat) (Vorlesung)  ,34341700 FG Robotik | Robotics and Biology Laboratory,Lecture
Machine Intelligence II (Übung),34351300 FG Neuronale Informationsverarbeitung,Practical tutorial
"Mind, Body, Environment: An Interactive Seminar on Embodied Intelligence (Seminar)  ",34341700 FG Robotik | Robotics and Biology Laboratory,Seminar
Praktische Programmieren & Rechneraufbau,34351300 FG Neuronale Informationsverarbeitung,Lecture
Bachelor Seminar: Machine Learning and Security (Seminar)  ,34353000 FG Maschinelles Lernen und IT-Sicherheit,Seminar
Advanced Study Projects: Basiswissen NLP,34355300 FG S-Professur Quality and Usability,Training
Digitale Nachrichtenübertragung (Übung)  ,34331100 FG Nachrichtenübertragung,Practical tutorial
Open Source Mobile Network Technologies Workshop,34335400 FG S-Professur Architekturen der Vermittlungsknoten,Workshop
Quantum Computing,34355100 FG S-Professur Security in Telecommunications (SecT),Practical tutorial
Diskrete Strukturen (Vorlesung),34351100 FG Algorithmik und Komplexitätstheorie,Lecture
Internet of Services Lab (Projekt)  ,34335700 FG S-Professur Service Centric Networking (SNET),Project
Open Distributed Systems (ODS) (Seminar),34332300 FG Open Distributed Systems (ODS),Seminar
Large-scale Data Engineering (Seminar) ,34352900 FG Big Data Engineering,Seminar
Internet of Services Lab (Seminar)  ,34335700 FG S-Professur Service Centric Networking (SNET),Seminar
Grundlagen des Softwaretestens SoSe 25 - Blockveranstaltung,34332300 FG Open Distributed Systems (ODS),Lecture
*Zweittermin Test* Grundlagen des Softwaretestens SoSe 2025,34332300 FG Open Distributed Systems (ODS),Lecture
